episode_id,n_samples,n_exact_copy_mismatches,first_source_value,last_source_value,first_dest_clean_value,last_dest_clean_value
D120_000_DAILY,120,0,0.14,1.396,1.3,1.262
D120_000_WEEKLY,120,0,0.22,1.416,1.3,1.262
D120_001_DAILY,120,0,0.386,0.3,0.306,0.146
D120_001_WEEKLY,120,0,0.166,0.44,0.306,0.146
D120_002_DAILY,120,0,2.258,0.914,2.51,0.476
D120_002_WEEKLY,120,0,2.38,0.332,2.51,0.476
D120_003_DAILY,120,0,1.486,0.312,0.338,0.17
D120_003_WEEKLY,120,0,0.332,0.31,0.338,0.17
D120_004_DAILY,120,0,0.942,0.278,0.294,1.446
D120_004_WEEKLY,120,0,0.392,0.24,0.294,1.446
D120_005_DAILY,120,0,0.934,0.302,2.838,1.626
D120_005_WEEKLY,120,0,3.26,1.988,2.838,1.626
D120_006_DAILY,120,0,0.308,1.484,0.404,1.436
D120_006_WEEKLY,120,0,0.326,1.198,0.404,1.436
D120_007_DAILY,120,0,0.406,0.328,0.44,0.246
D120_007_WEEKLY,120,0,0.134,0.266,0.44,0.246
D120_008_DAILY,120,0,1.406,0.13,0.216,2.592
D120_008_WEEKLY,120,0,0.212,0.556,0.216,2.592
D120_009_DAILY,120,0,2.336,0.236,0.78,0.358
D120_009_WEEKLY,120,0,0.896,0.14,0.78,0.358
D360_000_DAILY,360,0,0.396,1.578,0.43,0.778
D360_000_WEEKLY,360,0,1.372,0.322,0.43,0.778
D360_001_DAILY,360,0,1.186,0.236,1.458,0.542
D360_001_WEEKLY,360,0,1.326,0.286,1.458,0.542
D360_002_DAILY,360,0,1.68,0.634,0.234,1.432
D360_002_WEEKLY,360,0,0.222,1.418,0.234,1.432
D360_003_DAILY,360,0,0.238,0.174,0.94,0.208
D360_003_WEEKLY,360,0,0.442,0.298,0.94,0.208
D360_004_DAILY,360,0,1.306,0.966,0.49,0.694
D360_004_WEEKLY,360,0,1.348,1.192,0.49,0.694
D360_005_DAILY,360,0,0.948,1.892,1.242,0.382
D360_005_WEEKLY,360,0,1.184,0.318,1.242,0.382
D360_006_DAILY,360,0,0.322,1.58,0.324,1.184
D360_006_WEEKLY,360,0,0.408,0.242,0.324,1.184
D360_007_DAILY,360,0,5.59,0.33,1.472,0.584
D360_007_WEEKLY,360,0,0.77,0.224,1.472,0.584
D360_008_DAILY,360,0,0.314,0.214,0.956,0.334
D360_008_WEEKLY,360,0,0.222,0.21,0.956,0.334
D360_009_DAILY,360,0,0.366,1.818,1.282,1.58
D360_009_WEEKLY,360,0,0.242,0.402,1.282,1.58
D1440_000_DAILY,1440,0,0.512,0.486,0.484,1.856
D1440_000_WEEKLY,1440,0,0.356,0.442,0.484,1.856
D1440_001_DAILY,1440,0,2.664,0.39,0.388,0.286
D1440_001_WEEKLY,1440,0,0.324,1.402,0.388,0.286
D1440_002_DAILY,1440,0,3.002,0.354,0.352,1.436
D1440_002_WEEKLY,1440,0,0.282,0.216,0.352,1.436
D1440_003_DAILY,1440,0,1.61,0.852,0.924,1.416
D1440_003_WEEKLY,1440,0,1.892,1.402,0.924,1.416
D1440_004_DAILY,1440,0,0.246,2.568,3.244,1.732
D1440_004_WEEKLY,1440,0,0.878,1.238,3.244,1.732
D1440_005_DAILY,1440,0,0.378,0.322,0.322,0.396
D1440_005_WEEKLY,1440,0,0.33,0.328,0.322,0.396
D1440_006_DAILY,1440,0,0.358,1.64,1.65,1.434
D1440_006_WEEKLY,1440,0,1.322,3.03,1.65,1.434
D1440_007_DAILY,1440,0,0.162,0.22,0.222,0.334
D1440_007_WEEKLY,1440,0,0.786,0.276,0.222,0.334
D1440_008_DAILY,1440,0,0.19,0.296,0.294,0.178
D1440_008_WEEKLY,1440,0,0.136,0.336,0.294,0.178
D1440_009_DAILY,1440,0,1.292,2.35,3.514,1.342
D1440_009_WEEKLY,1440,0,0.32,0.244,3.514,1.342
