episode_id,paired_destination_id,shift_type,shift_minutes,duration_minutes,destination_start,destination_end,source_start,source_end,quarter,daypart,is_weekend,fold,split,seed,source_valid,destination_valid,p_context_valid,h_context_valid,post_context_valid,selected,rejection_reason,manifest_version,manifest_hash,detected_standard_P,detected_standard_H,detected_standard_OR,detected_onset_zone_P,detected_interior_P,detected_end_zone_P,detected_post_attack_P,detected_induced_P,preexisting_alert_P,detected_onset_zone_H,detected_interior_H,detected_end_zone_H,detected_post_attack_H,detected_induced_H,preexisting_alert_H,detected_onset_zone_OR,detected_interior_OR,detected_end_zone_OR,detected_post_attack_OR,detected_induced_OR,preexisting_alert_OR,first_detection_timestamp,first_detection_zone,delay_minutes,boundary_only_detection_P,post_only_detection_P,boundary_only_detection_H,post_only_detection_H,boundary_only_detection_OR,post_only_detection_OR,detected_by_P,detected_by_H,detected_by_OR,P_only,H_only,both,max_score_H_clean,max_score_H_attack,max_delta_score_H,boundary_width_minutes,preexisting_alert,clean_energy_kwh,replay_energy_kwh,hidden_energy_kwh,hidden_energy_fraction,economic_category,tolerance_used,source_destination_mae,source_destination_rmse,source_destination_correlation,diff_mean,diff_median,diff_p95,onset_jump_kw,end_jump_kw,onset_jump_relative,end_jump_relative,manifest_hash_used,valid_episode,warnings
D120_000_DAILY,D120_000,DAILY,1440,120,2009-06-26 06:30:00,2009-06-26 08:30:00,2009-06-25 06:30:00,2009-06-25 08:30:00,2,mañana,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,3,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,none,,False,False,False,False,False,False,False,False,False,False,False,False,0.49030592146106233,0.49030592146106233,0.1345387239114115,30,False,3.230366666666667,2.9421333333333335,0.28823333333333334,0.08922619723251231,underreporting,0.03230366666666667,0.3699166666666666,0.6826023000254248,0.3042536942025207,0.14411666666666664,0.08199999999999996,1.2518999999999993,-1.1640000000000001,-0.1519999999999999,-0.892638036809816,-0.1088825214899713,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,True,
D120_000_WEEKLY,D120_000,WEEKLY,10080,120,2009-06-26 06:30:00,2009-06-26 08:30:00,2009-06-19 06:30:00,2009-06-19 08:30:00,2,mañana,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,3,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,none,,False,False,False,False,False,False,False,False,False,False,False,False,0.49030592146106233,0.49030592146106233,0.08503758022837088,30,False,3.230366666666667,3.6485333333333334,-0.4181666666666666,-0.12944866939769475,overreporting,0.03230366666666667,0.7973499999999999,1.1241777291276795,-0.1214868354512465,-0.20908333333333337,-0.16600000000000004,2.2541999999999995,-1.084,-0.17199999999999993,-0.8312883435582822,-0.12146892655367228,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,True,
D120_001_DAILY,D120_001,DAILY,1440,120,2009-07-06 02:17:00,2009-07-06 04:17:00,2009-07-05 02:17:00,2009-07-05 04:17:00,3,madrugada,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,3,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,none,,False,False,False,False,False,False,False,False,False,False,False,False,0.634473636108497,0.634473636108497,0.06519126724601838,30,False,0.6804,0.8717999999999999,-0.1913999999999999,-0.2813051146384478,overreporting,0.01,0.1612333333333333,0.2385077217478154,0.463066055775534,-0.09569999999999998,-0.10200000000000004,0.41429999999999995,0.08000000000000002,-0.154,0.2614379084967321,-0.5133333333333333,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,True,
D120_001_WEEKLY,D120_001,WEEKLY,10080,120,2009-07-06 02:17:00,2009-07-06 04:17:00,2009-06-29 02:17:00,2009-06-29 04:17:00,3,madrugada,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,3,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,none,,False,False,False,False,False,False,False,False,False,False,False,False,0.634473636108497,0.634473636108497,0.05883187839626253,30,False,0.6804,0.9593666666666666,-0.2789666666666666,-0.4100039192631784,overreporting,0.01,0.25271666666666665,0.3191984231372914,-0.15177681571797466,-0.13948333333333332,-0.149,0.5720999999999999,-0.13999999999999999,-0.29400000000000004,-0.45751633986928103,-0.6681818181818183,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,True,
D120_002_DAILY,D120_002,DAILY,1440,120,2009-11-17 21:24:00,2009-11-17 23:24:00,2009-11-16 21:24:00,2009-11-16 23:24:00,4,noche,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,3,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,none,,False,False,False,False,False,False,False,False,False,False,False,False,0.6774435071229898,0.6404376659364972,0.17287634360859727,30,False,3.1040333333333336,3.991333333333334,-0.8873000000000002,-0.28585388902610587,overreporting,0.031040333333333336,0.7464833333333333,0.8566863097618248,0.6576092814853698,-0.44365,-0.5549999999999998,1.3406,-0.246,-0.41600000000000004,-0.09824281150159744,-0.4551422319474836,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,True,
D120_002_WEEKLY,D120_002,WEEKLY,10080,120,2009-11-17 21:24:00,2009-11-17 23:24:00,2009-11-10 21:24:00,2009-11-10 23:24:00,4,noche,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,3,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,none,,False,False,False,False,False,False,False,False,False,False,False,False,0.6774435071229898,0.7464999633412981,0.34387731675142597,30,False,3.1040333333333336,2.6222,0.4818333333333338,0.15522814402766305,underreporting,0.031040333333333336,0.2913166666666667,0.3793765499693763,0.9539900313782658,0.24091666666666667,0.17000000000000004,0.6156000000000003,-0.12400000000000011,0.16599999999999998,-0.049520766773162986,0.4999999999999999,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,True,
D120_003_DAILY,D120_003,DAILY,1440,120,2009-06-28 01:04:00,2009-06-28 03:04:00,2009-06-27 01:04:00,2009-06-27 03:04:00,2,madrugada,True,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,3,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,none,,False,False,False,False,False,False,False,False,False,False,False,False,0.7250376938784552,0.7250376938784552,0.4554759725462001,30,False,0.6715666666666668,1.7606000000000002,-1.0890333333333335,-1.621631012061349,overreporting,0.01,0.6163500000000001,0.9360448885247616,-0.0024861819897691794,-0.5445166666666666,-0.17799999999999996,2.3603,1.144,-0.152,3.3450292397660815,-0.48717948717948717,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,True,
D120_003_WEEKLY,D120_003,WEEKLY,10080,120,2009-06-28 01:04:00,2009-06-28 03:04:00,2009-06-21 01:04:00,2009-06-21 03:04:00,2,madrugada,True,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,3,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,none,,False,False,False,False,False,False,False,False,False,False,False,False,0.7250376938784552,0.7250376938784552,0.28272553149195984,30,False,0.6715666666666668,0.6891666666666667,-0.01759999999999995,-0.026207375787958426,overreporting,0.01,0.17933333333333337,0.2547856615536544,-0.13645340617688967,-0.008799999999999994,-0.0020000000000000018,0.6547,-0.010000000000000009,-0.15,-0.029239766081871368,-0.48387096774193544,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,True,
D120_004_DAILY,D120_004,DAILY,1440,120,2009-07-23 07:02:00,2009-07-23 09:02:00,2009-07-22 07:02:00,2009-07-22 09:02:00,3,mañana,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,3,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,none,,False,False,False,False,False,False,False,False,False,False,False,False,0.8528216601201462,0.7298944414207108,0.7298944414207108,30,False,1.4071000000000002,1.4656333333333333,-0.058533333333333104,-0.0415985596854048,overreporting,0.014071000000000002,0.8918333333333333,1.0441154470012723,-0.5090388573295505,-0.029266666666666663,0.05200000000000002,1.7086,0.734,1.164,3.5288461538461537,4.18705035971223,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,True,
D120_004_WEEKLY,D120_004,WEEKLY,10080,120,2009-07-23 07:02:00,2009-07-23 09:02:00,2009-07-16 07:02:00,2009-07-16 09:02:00,3,mañana,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,3,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,none,,False,False,False,False,False,False,False,False,False,False,False,False,0.8528216601201462,0.7418481368813009,0.6241614778077804,30,False,1.4071000000000002,0.7645333333333333,0.642566666666667,0.4566602705327744,underreporting,0.014071000000000002,0.48255,0.6804359631883077,0.1810293643253467,0.32128333333333337,-0.006999999999999992,1.2949999999999997,0.18400000000000002,1.202,0.8846153846153848,5.008333333333334,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,True,
D120_005_DAILY,D120_005,DAILY,1440,120,2009-11-28 17:53:00,2009-11-28 19:53:00,2009-11-27 17:53:00,2009-11-27 19:53:00,4,tarde,True,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,3,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,none,,False,False,False,False,False,False,False,False,False,False,False,False,0.4042513077339485,0.8748159580291585,0.8748159580291585,30,False,4.718699999999999,2.682466666666667,2.0362333333333322,0.431524219241175,underreporting,0.04718699999999999,1.0607833333333334,1.41645648244719,0.07851490251514281,1.0181166666666668,1.0070000000000001,2.7531000000000008,-1.5999999999999996,1.3439999999999999,-0.6314127861089186,4.450331125827814,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,True,
D120_005_WEEKLY,D120_005,WEEKLY,10080,120,2009-11-28 17:53:00,2009-11-28 19:53:00,2009-11-21 17:53:00,2009-11-21 19:53:00,4,tarde,True,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,3,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,none,,False,False,False,False,False,False,False,False,False,False,False,False,0.4042513077339485,0.4042513077339485,0.0,30,False,4.718699999999999,7.781033333333334,-3.062333333333335,-0.6489781790182328,overreporting,0.04718699999999999,1.5977666666666663,2.036060739107096,0.2649885566901793,-1.5311666666666668,-1.391,3.7087000000000003,0.726,-0.3420000000000001,0.2865035516969219,-0.17203219315895377,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,True,
