episode_id,paired_destination_id,shift_type,duration_minutes,source_destination_mae,source_destination_rmse,source_destination_correlation,diff_mean,diff_median,diff_p95,hidden_energy_kwh,detected_induced_OR
D120_000_DAILY,D120_000,DAILY,120,0.3699166666666666,0.6826023000254248,0.3042536942025207,0.1441166666666666,0.0819999999999999,1.2518999999999991,0.2882333333333333,False
D120_000_WEEKLY,D120_000,WEEKLY,120,0.7973499999999999,1.1241777291276795,-0.1214868354512465,-0.2090833333333333,-0.166,2.2541999999999995,-0.4181666666666666,False
D120_001_DAILY,D120_001,DAILY,120,0.1612333333333333,0.2385077217478154,0.463066055775534,-0.0956999999999999,-0.102,0.4142999999999999,-0.1913999999999999,False
D120_001_WEEKLY,D120_001,WEEKLY,120,0.2527166666666666,0.3191984231372914,-0.1517768157179746,-0.1394833333333333,-0.149,0.5720999999999999,-0.2789666666666666,False
D120_002_DAILY,D120_002,DAILY,120,0.7464833333333333,0.8566863097618248,0.6576092814853698,-0.44365,-0.5549999999999998,1.3406,-0.8873000000000002,False
D120_002_WEEKLY,D120_002,WEEKLY,120,0.2913166666666667,0.3793765499693763,0.9539900313782658,0.2409166666666666,0.17,0.6156000000000003,0.4818333333333338,False
D120_003_DAILY,D120_003,DAILY,120,0.6163500000000001,0.9360448885247616,-0.0024861819897691,-0.5445166666666666,-0.1779999999999999,2.3603,-1.0890333333333335,False
D120_003_WEEKLY,D120_003,WEEKLY,120,0.1793333333333333,0.2547856615536544,-0.1364534061768896,-0.0087999999999999,-0.002,0.6547,-0.0175999999999999,False
D120_004_DAILY,D120_004,DAILY,120,0.8918333333333333,1.0441154470012723,-0.5090388573295505,-0.0292666666666666,0.052,1.7086,-0.0585333333333331,False
D120_004_WEEKLY,D120_004,WEEKLY,120,0.48255,0.6804359631883077,0.1810293643253467,0.3212833333333333,-0.0069999999999999,1.2949999999999997,0.642566666666667,False
D120_005_DAILY,D120_005,DAILY,120,1.0607833333333334,1.41645648244719,0.0785149025151428,1.0181166666666668,1.007,2.7531000000000008,2.036233333333332,False
D120_005_WEEKLY,D120_005,WEEKLY,120,1.5977666666666663,2.036060739107096,0.2649885566901793,-1.5311666666666668,-1.391,3.7087,-3.062333333333335,False
D120_006_DAILY,D120_006,DAILY,120,0.3844,0.5738323216178515,0.5318863231611477,0.2807666666666666,0.097,1.3916999999999995,0.5615333333333333,False
D120_006_WEEKLY,D120_006,WEEKLY,120,0.2705999999999999,0.4247301103838373,0.7134077927536654,0.0379666666666666,0.0649999999999998,0.9402,0.0759333333333334,False
D120_007_DAILY,D120_007,DAILY,120,0.2144166666666666,0.3043743856941097,-0.0229201536335535,0.1354166666666666,0.068,0.6683,0.2708333333333335,False
D120_007_WEEKLY,D120_007,WEEKLY,120,0.21465,0.2874075503531527,0.0820547163012304,0.1623166666666667,0.1709999999999999,0.6174,0.3246333333333333,False
D120_008_DAILY,D120_008,DAILY,120,0.4525833333333333,0.8097520402361865,-0.1153811964254037,0.01345,0.0059999999999999,2.4504,0.0269,False
D120_008_WEEKLY,D120_008,WEEKLY,120,0.6646166666666667,0.9056657403994772,-0.0341872276944869,-0.3107499999999999,-0.17,1.8789,-0.6214999999999997,False
D120_009_DAILY,D120_009,DAILY,120,0.4922333333333333,0.7587049053046471,0.1644369336503507,-0.1801,0.02,1.7679999999999996,-0.3602000000000003,False
D120_009_WEEKLY,D120_009,WEEKLY,120,0.2625166666666667,0.4293196555792276,0.0456853393783417,0.2028166666666666,0.079,1.1069,0.4056333333333332,False
D360_000_DAILY,D360_000,DAILY,360,0.5035055555555555,0.7620984698697261,-0.0151471375132142,0.1782944444444444,0.135,1.870000000000001,1.0697666666666668,False
D360_000_WEEKLY,D360_000,WEEKLY,360,0.48845,0.7633571830335317,0.0979261181626066,0.4491611111111111,0.295,2.0006,2.6949666666666667,False
D360_001_DAILY,D360_001,DAILY,360,0.7915833333333334,1.1699782666547462,0.0579578477555646,0.7404833333333332,0.302,2.4703,4.442900000000002,False
D360_001_WEEKLY,D360_001,WEEKLY,360,0.6125388888888889,1.02455069285137,0.2244422993664805,0.5325055555555556,0.1359999999999999,2.2411,3.195033333333336,False
