configuracion,fold,fa,admisible_fold
P_MULTI_SEASON_ONLY,0,0.1111111111111111,True
H_CAL30_ONLY,0,0.1111111111111111,True
H_CAL90_ONLY,0,0.044444444444444446,True
H_CAL180_ONLY,0,0.044444444444444446,True
H_MULTIWINDOW_180_ONLY,0,0.022222222222222223,True
OR_PMULTI_HCAL30,0,0.2222222222222222,False
OR_PMULTI_HCAL90,0,0.15555555555555556,False
OR_PMULTI_HCAL180,0,0.15555555555555556,False
OR_PMULTI_HMULTIWINDOW,0,0.13333333333333333,True
P_MULTI_SEASON_ONLY,1,0.0,True
H_CAL30_ONLY,1,1.3111111111111111,False
H_CAL90_ONLY,1,2.1777777777777776,False
H_CAL180_ONLY,1,0.8888888888888888,False
H_MULTIWINDOW_180_ONLY,1,0.022222222222222223,True
OR_PMULTI_HCAL30,1,1.3111111111111111,False
OR_PMULTI_HCAL90,1,2.1777777777777776,False
OR_PMULTI_HCAL180,1,0.8888888888888888,False
OR_PMULTI_HMULTIWINDOW,1,0.022222222222222223,True
P_MULTI_SEASON_ONLY,2,0.0,True
H_CAL30_ONLY,2,0.0,True
H_CAL90_ONLY,2,0.0,True
H_CAL180_ONLY,2,0.0,True
H_MULTIWINDOW_180_ONLY,2,0.0,True
OR_PMULTI_HCAL30,2,0.0,True
OR_PMULTI_HCAL90,2,0.0,True
OR_PMULTI_HCAL180,2,0.0,True
OR_PMULTI_HMULTIWINDOW,2,0.0,True
P_MULTI_SEASON_ONLY,3,0.0,True
H_CAL30_ONLY,3,0.06666666666666667,True
H_CAL90_ONLY,3,0.044444444444444446,True
H_CAL180_ONLY,3,0.06666666666666667,True
H_MULTIWINDOW_180_ONLY,3,0.044444444444444446,True
OR_PMULTI_HCAL30,3,0.06666666666666667,True
OR_PMULTI_HCAL90,3,0.044444444444444446,True
OR_PMULTI_HCAL180,3,0.06666666666666667,True
OR_PMULTI_HMULTIWINDOW,3,0.044444444444444446,True
