configuracion,fold,active_fraction,longest_clean_event_hours,seven_day_max_active_fraction,consecutive_days_over_50,falla_saturacion
P_MULTI_SEASON_ONLY,0,0.008333333333333333,4.0,0.02976190476190476,0,False
H_CAL30_ONLY,0,0.0020833333333333333,1.0,0.013392857142857142,0,False
H_CAL90_ONLY,0,0.000462962962962963,0.25,0.002976190476190476,0,False
H_CAL180_ONLY,0,0.000462962962962963,0.25,0.002976190476190476,0,False
H_MULTIWINDOW_180_ONLY,0,0.0002314814814814815,0.25,0.001488095238095238,0,False
OR_PMULTI_HCAL30,0,0.010416666666666666,4.0,0.02976190476190476,0,False
OR_PMULTI_HCAL90,0,0.008796296296296297,4.0,0.02976190476190476,0,False
OR_PMULTI_HCAL180,0,0.008796296296296297,4.0,0.02976190476190476,0,False
OR_PMULTI_HMULTIWINDOW,0,0.008564814814814815,4.0,0.02976190476190476,0,False
P_MULTI_SEASON_ONLY,1,0.0,0.0,0.0,0,False
H_CAL30_ONLY,1,0.013888888888888888,0.5,0.026785714285714284,0,False
H_CAL90_ONLY,1,0.022916666666666665,0.5,0.043154761904761904,0,False
H_CAL180_ONLY,1,0.009259259259259259,0.25,0.022321428571428572,0,False
H_MULTIWINDOW_180_ONLY,1,0.0002314814814814815,0.25,0.001488095238095238,0,False
OR_PMULTI_HCAL30,1,0.013888888888888888,0.5,0.026785714285714284,0,False
OR_PMULTI_HCAL90,1,0.022916666666666665,0.5,0.043154761904761904,0,False
OR_PMULTI_HCAL180,1,0.009259259259259259,0.25,0.022321428571428572,0,False
OR_PMULTI_HMULTIWINDOW,1,0.0002314814814814815,0.25,0.001488095238095238,0,False
P_MULTI_SEASON_ONLY,2,0.0,0.0,0.0,0,False
H_CAL30_ONLY,2,0.0,0.0,0.0,0,False
H_CAL90_ONLY,2,0.0,0.0,0.0,0,False
H_CAL180_ONLY,2,0.0,0.0,0.0,0,False
H_MULTIWINDOW_180_ONLY,2,0.0,0.0,0.0,0,False
OR_PMULTI_HCAL30,2,0.0,0.0,0.0,0,False
OR_PMULTI_HCAL90,2,0.0,0.0,0.0,0,False
OR_PMULTI_HCAL180,2,0.0,0.0,0.0,0,False
OR_PMULTI_HMULTIWINDOW,2,0.0,0.0,0.0,0,False
P_MULTI_SEASON_ONLY,3,0.0,0.0,0.0,0,False
H_CAL30_ONLY,3,0.0006944444444444445,0.25,0.004464285714285714,0,False
H_CAL90_ONLY,3,0.000462962962962963,0.25,0.002976190476190476,0,False
H_CAL180_ONLY,3,0.0006944444444444445,0.25,0.004464285714285714,0,False
H_MULTIWINDOW_180_ONLY,3,0.000462962962962963,0.25,0.002976190476190476,0,False
OR_PMULTI_HCAL30,3,0.0006944444444444445,0.25,0.004464285714285714,0,False
OR_PMULTI_HCAL90,3,0.000462962962962963,0.25,0.002976190476190476,0,False
OR_PMULTI_HCAL180,3,0.0006944444444444445,0.25,0.004464285714285714,0,False
OR_PMULTI_HMULTIWINDOW,3,0.000462962962962963,0.25,0.002976190476190476,0,False
