configuracion,fold,fa,admisible_fold
P_GLOBAL,0,0.0,True
P_MULTI_SEASON,0,0.1111111111111111,True
P_ROBUST_Z,0,0.13333333333333333,True
H_RELATIVE,0,0.2222222222222222,False
H_ROBUST_Z,0,0.044444444444444446,True
OR_PGLOBAL_HREL,0,0.2222222222222222,False
OR_PMULTI_HREL,0,0.3333333333333333,False
OR_PMULTI_HZ,0,0.15555555555555556,False
OR_PZ_HREL,0,0.35555555555555557,False
OR_PZ_HZ,0,0.17777777777777778,False
P_GLOBAL,1,1.511111111111111,False
P_MULTI_SEASON,1,0.0,True
P_ROBUST_Z,1,0.022222222222222223,True
H_RELATIVE,1,0.4222222222222222,False
H_ROBUST_Z,1,0.2222222222222222,False
OR_PGLOBAL_HREL,1,1.5555555555555556,False
OR_PMULTI_HREL,1,0.4222222222222222,False
OR_PMULTI_HZ,1,0.2222222222222222,False
OR_PZ_HREL,1,0.4444444444444444,False
OR_PZ_HZ,1,0.24444444444444444,False
P_GLOBAL,2,0.0,True
P_MULTI_SEASON,2,0.0,True
P_ROBUST_Z,2,0.06666666666666667,True
H_RELATIVE,2,0.0,True
H_ROBUST_Z,2,0.0,True
OR_PGLOBAL_HREL,2,0.0,True
OR_PMULTI_HREL,2,0.0,True
OR_PMULTI_HZ,2,0.0,True
OR_PZ_HREL,2,0.06666666666666667,True
OR_PZ_HZ,2,0.06666666666666667,True
P_GLOBAL,3,0.06666666666666667,True
P_MULTI_SEASON,3,0.0,True
P_ROBUST_Z,3,0.06666666666666667,True
H_RELATIVE,3,0.022222222222222223,True
H_ROBUST_Z,3,0.08888888888888889,True
OR_PGLOBAL_HREL,3,0.08888888888888889,True
OR_PMULTI_HREL,3,0.022222222222222223,True
OR_PMULTI_HZ,3,0.08888888888888889,True
OR_PZ_HREL,3,0.08888888888888889,True
OR_PZ_HZ,3,0.15555555555555556,False
